Episode,Reward,Epsilon,Best_Reward,Best_Avg_Reward
0,300.0,0.8550259200140033,300.0,300.0
1,125.0,0.7734931013879359,300.0,300.0
2,300.0,0.6780337004099852,300.0,300.0
3,100.0,0.6093427815914586,300.0,300.0
4,0.0,0.5594018800270838,300.0,300.0
5,325.0,0.4894822072812271,325.0,300.0
6,25.0,0.4549270745321526,325.0,300.0
7,150.0,0.3997413574016829,325.0,300.0
8,150.0,0.3580602302488354,325.0,300.0
9,25.0,0.32733619286120363,325.0,300.0
10,400.0,0.2945273630353434,400.0,300.0
11,125.0,0.26326340711822865,400.0,300.0
12,225.0,0.23111965074938448,400.0,300.0
13,125.0,0.20283969070812505,400.0,300.0
14,675.0,0.17384999531259526,675.0,300.0
15,500.0,0.15409583866992596,675.0,300.0
16,125.0,0.13956910918077992,675.0,300.0
17,150.0,0.12371020714125133,675.0,300.0
18,150.0,0.11061160407910708,675.0,300.0
19,125.0,0.09810192599201496,675.0,300.0
20,525.0,0.0864605335718462,675.0,300.0
21,50.0,0.07930293092677142,675.0,300.0
22,50.0,0.07247644302306894,675.0,300.0
23,0.0,0.06675633858021496,675.0,300.0
24,75.0,0.05983153268997629,675.0,300.0
25,0.0,0.055026796021394146,675.0,300.0
26,175.0,0.05,675.0,300.0
27,75.0,0.05,675.0,300.0
28,75.0,0.05,675.0,300.0
29,50.0,0.05,675.0,300.0
30,50.0,0.05,675.0,300.0
31,25.0,0.05,675.0,300.0
32,75.0,0.05,675.0,300.0
33,100.0,0.05,675.0,300.0
34,125.0,0.05,675.0,300.0
35,250.0,0.05,675.0,300.0
36,225.0,0.05,675.0,300.0
37,450.0,0.05,675.0,300.0
38,225.0,0.05,675.0,300.0
39,250.0,0.05,675.0,300.0
40,325.0,0.05,675.0,300.0
41,150.0,0.05,675.0,300.0
42,150.0,0.05,675.0,300.0
43,150.0,0.05,675.0,300.0
44,125.0,0.05,675.0,300.0
45,150.0,0.05,675.0,300.0
46,550.0,0.05,675.0,300.0
47,200.0,0.05,675.0,300.0
48,200.0,0.05,675.0,300.0
49,150.0,0.05,675.0,300.0
50,150.0,0.05,675.0,300.0
51,225.0,0.05,675.0,300.0
52,175.0,0.05,675.0,300.0
53,275.0,0.05,675.0,300.0
54,75.0,0.05,675.0,300.0
55,450.0,0.05,675.0,300.0
56,125.0,0.05,675.0,300.0
57,25.0,0.05,675.0,300.0
58,125.0,0.05,675.0,300.0
59,475.0,0.05,675.0,300.0
60,150.0,0.05,675.0,300.0
61,250.0,0.05,675.0,300.0
62,150.0,0.05,675.0,300.0
63,125.0,0.05,675.0,300.0
64,150.0,0.05,675.0,300.0
65,0.0,0.05,675.0,300.0
66,600.0,0.05,675.0,300.0
67,75.0,0.05,675.0,300.0
68,0.0,0.05,675.0,300.0
69,0.0,0.05,675.0,300.0
70,0.0,0.05,675.0,300.0
71,50.0,0.05,675.0,300.0
72,25.0,0.05,675.0,300.0
73,50.0,0.05,675.0,300.0
74,0.0,0.05,675.0,300.0
75,75.0,0.05,675.0,300.0
76,25.0,0.05,675.0,300.0
77,25.0,0.05,675.0,300.0
78,0.0,0.05,675.0,300.0
79,150.0,0.05,675.0,300.0
80,125.0,0.05,675.0,300.0
81,350.0,0.05,675.0,300.0
82,125.0,0.05,675.0,300.0
83,125.0,0.05,675.0,300.0
84,125.0,0.05,675.0,300.0
85,150.0,0.05,675.0,300.0
86,225.0,0.05,675.0,300.0
87,300.0,0.05,675.0,300.0
88,275.0,0.05,675.0,300.0
89,150.0,0.05,675.0,300.0
90,250.0,0.05,675.0,300.0
91,0.0,0.05,675.0,300.0
92,200.0,0.05,675.0,300.0
93,125.0,0.05,675.0,300.0
94,250.0,0.05,675.0,300.0
95,275.0,0.05,675.0,300.0
96,275.0,0.05,675.0,300.0
97,125.0,0.05,675.0,300.0
98,250.0,0.05,675.0,300.0
99,250.0,0.05,675.0,300.0
100,250.0,0.05,675.0,300.0
101,275.0,0.05,675.0,300.0
102,0.0,0.05,675.0,300.0
103,25.0,0.05,675.0,300.0
104,225.0,0.05,675.0,300.0
105,100.0,0.05,675.0,300.0
106,100.0,0.05,675.0,300.0
107,150.0,0.05,675.0,300.0
108,50.0,0.05,675.0,300.0
109,125.0,0.05,675.0,300.0
110,600.0,0.05,675.0,300.0
111,125.0,0.05,675.0,300.0
112,275.0,0.05,675.0,300.0
113,325.0,0.05,675.0,300.0
114,50.0,0.05,675.0,300.0
115,250.0,0.05,675.0,300.0
116,150.0,0.05,675.0,300.0
117,75.0,0.05,675.0,300.0
118,175.0,0.05,675.0,300.0
119,75.0,0.05,675.0,300.0
120,200.0,0.05,675.0,300.0
121,50.0,0.05,675.0,300.0
122,200.0,0.05,675.0,300.0
123,0.0,0.05,675.0,300.0
124,0.0,0.05,675.0,300.0
125,0.0,0.05,675.0,300.0
126,0.0,0.05,675.0,300.0
127,50.0,0.05,675.0,300.0
128,0.0,0.05,675.0,300.0
129,0.0,0.05,675.0,300.0
130,0.0,0.05,675.0,300.0
131,0.0,0.05,675.0,300.0
132,0.0,0.05,675.0,300.0
133,0.0,0.05,675.0,300.0
134,0.0,0.05,675.0,300.0
135,0.0,0.05,675.0,300.0
136,0.0,0.05,675.0,300.0
137,0.0,0.05,675.0,300.0
138,0.0,0.05,675.0,300.0
139,0.0,0.05,675.0,300.0
140,0.0,0.05,675.0,300.0
141,75.0,0.05,675.0,300.0
142,150.0,0.05,675.0,300.0
143,100.0,0.05,675.0,300.0
144,225.0,0.05,675.0,300.0
145,150.0,0.05,675.0,300.0
146,600.0,0.05,675.0,300.0
147,275.0,0.05,675.0,300.0
148,175.0,0.05,675.0,300.0
149,225.0,0.05,675.0,300.0
150,300.0,0.05,675.0,300.0
151,300.0,0.05,675.0,300.0
152,125.0,0.05,675.0,300.0
153,125.0,0.05,675.0,300.0
154,275.0,0.05,675.0,300.0
155,175.0,0.05,675.0,300.0
156,150.0,0.05,675.0,300.0
157,125.0,0.05,675.0,300.0
158,400.0,0.05,675.0,300.0
159,150.0,0.05,675.0,300.0
160,475.0,0.05,675.0,300.0
161,300.0,0.05,675.0,300.0
162,275.0,0.05,675.0,300.0
163,300.0,0.05,675.0,300.0
164,175.0,0.05,675.0,300.0
165,250.0,0.05,675.0,300.0
166,450.0,0.05,675.0,300.0
167,150.0,0.05,675.0,300.0
168,100.0,0.05,675.0,300.0
169,50.0,0.05,675.0,300.0
170,0.0,0.05,675.0,300.0
171,25.0,0.05,675.0,300.0
172,125.0,0.05,675.0,300.0
173,75.0,0.05,675.0,300.0
174,100.0,0.05,675.0,300.0
175,175.0,0.05,675.0,300.0
176,125.0,0.05,675.0,300.0
177,175.0,0.05,675.0,300.0
178,275.0,0.05,675.0,300.0
179,150.0,0.05,675.0,300.0
180,200.0,0.05,675.0,300.0
181,150.0,0.05,675.0,300.0
182,250.0,0.05,675.0,300.0
183,250.0,0.05,675.0,300.0
184,425.0,0.05,675.0,300.0
185,225.0,0.05,675.0,300.0
186,175.0,0.05,675.0,300.0
187,125.0,0.05,675.0,300.0
188,75.0,0.05,675.0,300.0
189,75.0,0.05,675.0,300.0
190,250.0,0.05,675.0,300.0
191,200.0,0.05,675.0,300.0
192,200.0,0.05,675.0,300.0
193,125.0,0.05,675.0,300.0
194,300.0,0.05,675.0,300.0
195,475.0,0.05,675.0,300.0
196,150.0,0.05,675.0,300.0
197,75.0,0.05,675.0,300.0
198,375.0,0.05,675.0,300.0
199,625.0,0.05,675.0,300.0
200,150.0,0.05,675.0,300.0
201,125.0,0.05,675.0,300.0
202,150.0,0.05,675.0,300.0
203,125.0,0.05,675.0,300.0
204,225.0,0.05,675.0,300.0
205,250.0,0.05,675.0,300.0
206,175.0,0.05,675.0,300.0
207,600.0,0.05,675.0,300.0
208,550.0,0.05,675.0,300.0
209,200.0,0.05,675.0,300.0
210,100.0,0.05,675.0,300.0
211,250.0,0.05,675.0,300.0
212,200.0,0.05,675.0,300.0
213,275.0,0.05,675.0,300.0
214,450.0,0.05,675.0,300.0
215,500.0,0.05,675.0,300.0
216,25.0,0.05,675.0,300.0
217,50.0,0.05,675.0,300.0
218,225.0,0.05,675.0,300.0
219,125.0,0.05,675.0,300.0
220,175.0,0.05,675.0,300.0
221,0.0,0.05,675.0,300.0
222,0.0,0.05,675.0,300.0
223,0.0,0.05,675.0,300.0
224,0.0,0.05,675.0,300.0
225,0.0,0.05,675.0,300.0
226,0.0,0.05,675.0,300.0
227,0.0,0.05,675.0,300.0
228,0.0,0.05,675.0,300.0
229,0.0,0.05,675.0,300.0
230,0.0,0.05,675.0,300.0
231,0.0,0.05,675.0,300.0
232,0.0,0.05,675.0,300.0
233,0.0,0.05,675.0,300.0
234,0.0,0.05,675.0,300.0
235,0.0,0.05,675.0,300.0
236,0.0,0.05,675.0,300.0
237,0.0,0.05,675.0,300.0
238,50.0,0.05,675.0,300.0
239,50.0,0.05,675.0,300.0
240,125.0,0.05,675.0,300.0
241,25.0,0.05,675.0,300.0
242,25.0,0.05,675.0,300.0
243,0.0,0.05,675.0,300.0
244,75.0,0.05,675.0,300.0
245,0.0,0.05,675.0,300.0
246,100.0,0.05,675.0,300.0
247,100.0,0.05,675.0,300.0
248,75.0,0.05,675.0,300.0
249,100.0,0.05,675.0,300.0
250,125.0,0.05,675.0,300.0
251,125.0,0.05,675.0,300.0
252,150.0,0.05,675.0,300.0
253,250.0,0.05,675.0,300.0
254,125.0,0.05,675.0,300.0
255,450.0,0.05,675.0,300.0
256,275.0,0.05,675.0,300.0
257,125.0,0.05,675.0,300.0
258,450.0,0.05,675.0,300.0
259,475.0,0.05,675.0,300.0
260,25.0,0.05,675.0,300.0
261,25.0,0.05,675.0,300.0
262,175.0,0.05,675.0,300.0
263,50.0,0.05,675.0,300.0
264,50.0,0.05,675.0,300.0
265,250.0,0.05,675.0,300.0
266,0.0,0.05,675.0,300.0
267,0.0,0.05,675.0,300.0
268,0.0,0.05,675.0,300.0
269,50.0,0.05,675.0,300.0
270,150.0,0.05,675.0,300.0
271,125.0,0.05,675.0,300.0
272,150.0,0.05,675.0,300.0
273,50.0,0.05,675.0,300.0
274,175.0,0.05,675.0,300.0
275,50.0,0.05,675.0,300.0
276,0.0,0.05,675.0,300.0
277,325.0,0.05,675.0,300.0
278,100.0,0.05,675.0,300.0
279,25.0,0.05,675.0,300.0
280,150.0,0.05,675.0,300.0
281,250.0,0.05,675.0,300.0
282,75.0,0.05,675.0,300.0
283,775.0,0.05,775.0,300.0
284,150.0,0.05,775.0,300.0
285,50.0,0.05,775.0,300.0
286,300.0,0.05,775.0,300.0
287,300.0,0.05,775.0,300.0
288,150.0,0.05,775.0,300.0
289,250.0,0.05,775.0,300.0
290,150.0,0.05,775.0,300.0
291,450.0,0.05,775.0,300.0
292,125.0,0.05,775.0,300.0
293,150.0,0.05,775.0,300.0
294,125.0,0.05,775.0,300.0
295,75.0,0.05,775.0,300.0
296,50.0,0.05,775.0,300.0
297,100.0,0.05,775.0,300.0
298,100.0,0.05,775.0,300.0
299,100.0,0.05,775.0,300.0
300,0.0,0.05,775.0,300.0
301,0.0,0.05,775.0,300.0
302,50.0,0.05,775.0,300.0
303,100.0,0.05,775.0,300.0
304,0.0,0.05,775.0,300.0
305,150.0,0.05,775.0,300.0
306,75.0,0.05,775.0,300.0
307,0.0,0.05,775.0,300.0
308,25.0,0.05,775.0,300.0
309,0.0,0.05,775.0,300.0
310,175.0,0.05,775.0,300.0
311,25.0,0.05,775.0,300.0
312,75.0,0.05,775.0,300.0
313,0.0,0.05,775.0,300.0
314,125.0,0.05,775.0,300.0
315,0.0,0.05,775.0,300.0
316,25.0,0.05,775.0,300.0
317,0.0,0.05,775.0,300.0
318,100.0,0.05,775.0,300.0
319,0.0,0.05,775.0,300.0
320,0.0,0.05,775.0,300.0
321,0.0,0.05,775.0,300.0
322,25.0,0.05,775.0,300.0
323,0.0,0.05,775.0,300.0
324,0.0,0.05,775.0,300.0
325,0.0,0.05,775.0,300.0
326,125.0,0.05,775.0,300.0
327,75.0,0.05,775.0,300.0
328,50.0,0.05,775.0,300.0
329,0.0,0.05,775.0,300.0
330,75.0,0.05,775.0,300.0
331,0.0,0.05,775.0,300.0
332,0.0,0.05,775.0,300.0
333,75.0,0.05,775.0,300.0
334,125.0,0.05,775.0,300.0
335,0.0,0.05,775.0,300.0
336,0.0,0.05,775.0,300.0
337,0.0,0.05,775.0,300.0
338,25.0,0.05,775.0,300.0
339,0.0,0.05,775.0,300.0
340,50.0,0.05,775.0,300.0
341,0.0,0.05,775.0,300.0
342,100.0,0.05,775.0,300.0
343,75.0,0.05,775.0,300.0
344,150.0,0.05,775.0,300.0
345,100.0,0.05,775.0,300.0
